timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, axialPower, turnPower
00:01:31,451.16006,729.98614,307.79546,216.9556,173.91827,0.43161,-0.00156,0.20664,-0.00099
00:01:31,450.41211,726.86129,308.64906,216.46424,172.78447,0.99607,-0.00293,0.27063,-0.00122
00:01:31,433.15581,720.75692,307.77576,214.12605,177.6319,1.62841,-0.00397,0.31048,-0.00131
00:01:31,426.49572,701.41565,304.85791,217.73758,171.3765,2.46989,-0.00478,0.34288,-0.00135
00:01:31,420.18647,682.16481,300.92901,212.5624,165.21736,3.06197,-0.00508,0.35777,-0.00134
00:01:31,419.39838,671.5169,295.61469,206.33074,166.1064,3.60484,-0.00519,0.36796,-0.00131
00:01:31,422.02115,659.01612,288.72296,198.98816,166.03361,4.09451,-0.00525,0.37368,-0.00137
00:01:31,412.99201,645.67103,281.80687,200.44427,158.00125,4.52385,-0.00547,0.37384,-0.00151
00:01:31,410.30842,618.09774,269.12947,188.19172,153.02825,4.9993,-0.00604,0.37066,-0.00177
00:01:31,405.17676,602.94279,261.15385,179.92153,144.10791,5.28506,-0.00676,0.36269,-0.00213
00:01:31,393.91042,578.58191,265.72918,170.71081,142.26787,5.49869,-0.00803,0.34538,-0.00269
00:01:31,381.10782,547.2238,741.00844,159.29672,129.63649,5.67115,-0.0103,0.32965,-0.00325
00:01:31,365.63318,516.49377,696.74181,149.61092,126.33344,5.76793,-0.01229,0.32066,-0.00364
00:01:31,352.53136,491.45139,663.47144,142.65579,118.01213,5.81073,-0.01359,0.31774,-0.00388
00:01:31,341.25467,466.26883,621.46887,137.15563,110.86515,5.84454,-0.01462,0.32092,-0.00397
00:01:31,327.46033,437.15417,581.1093,130.89283,102.22048,5.90683,-0.01534,0.33354,-0.00392
00:01:32,313.09847,400.5581,535.09376,137.3113,94.74512,6,-0.0154,0.35123,-0.00377
00:01:32,297.50599,364.06137,492.19566,661.94888,89.43652,6,-0.01496,0.37249,-0.0035
00:01:32,281.07952,344.30497,452.92435,601.69632,85.16352,6,-0.01392,0.39743,-0.00297
00:01:32,264.40208,318.55518,407.52853,549.94479,109.40068,6,-0.01176,0.41986,-0.00199
00:01:32,254.91045,299.28255,387.28229,517.02635,825.5488,6,-0.00923,0.42949,-0.00107
00:01:32,244.86222,281.51737,354.64241,481.09747,749.09273,6,-0.00508,0.42964,0.00009
00:01:32,233.89706,267.83881,336.16183,448.02685,706.62908,6,-0.0018,0.41736,0.00093
00:01:32,225.52263,248.73861,318.09782,427.2929,675.48478,6,0.00168,0.3853,0.00204
00:01:32,211.17324,235.98643,294.68814,404.23838,652.06355,6,0.0072,0.32725,0.00361
00:01:32,203.0184,227.21554,280.44152,386.76338,652.1595,5.95488,0.01283,0.27378,0.00481
00:01:32,193.68984,213.61344,273.84651,388.73606,672.51752,5.81709,0.01644,0.24554,0.00538
00:01:32,177.40134,198.87314,264.74427,384.29099,733.32264,5.5783,0.01989,0.23247,0.00575
00:01:32,173.28946,201.27655,259.91979,388.53577,1191.33265,5.36445,0.02188,0.23545,0.00588
00:01:32,162.75626,190.13568,258.51455,401.04655,1119.98571,5.22019,0.02284,0.25422,0.00585
00:01:32,155.23219,181.52901,260.68283,423.66794,1034.99237,5.18871,0.02305,0.28572,0.00572
00:01:32,150.45602,183.48609,256.54997,459.97991,941.76148,5.28291,0.02281,0.322,0.00558
00:01:33,144.55773,182.59287,255.34198,500.69185,875.33328,5.42715,0.02249,0.34884,0.00546
00:01:33,143.2448,179.67508,266.58715,581.27876,768.16796,5.70274,0.02185,0.3879,0.0052
00:01:33,139.00229,171.48529,267.86504,1097.79351,689.16787,5.96891,0.02116,0.41823,0.00495
00:01:33,133.5109,172.07475,273.81694,1034.67512,567.44638,6,0.01999,0.45695,0.0046
00:01:33,129.7465,164.8487,282.98152,962.57502,481.41762,6,0.01871,0.49366,0.00429
00:01:33,128.56378,169.99667,298.30441,905.30118,428.46215,6,0.01748,0.52591,0.004
00:01:33,121.97804,166.70707,312.54407,849.26278,402.21907,6,0.01661,0.54635,0.00382
00:01:33,116.05383,165.69211,343.38886,789.09852,373.10775,6,0.01555,0.57031,0.00355
00:01:33,120.28189,164.79211,372.35496,743.62941,357.67343,6,0.01471,0.58683,0.00331
00:01:33,116.67742,166.31979,429.60068,686.27472,339.76129,6,0.01348,0.60648,0.00297
00:01:33,114.45115,168.05132,916.84292,650.62609,329.30075,6,0.0125,0.61929,0.00271
00:01:33,112.85097,172.28472,876.43381,615.80911,317.21185,6,0.01119,0.63379,0.00239
00:01:33,111.03562,176.06798,830.99122,573.42439,308.71699,6,0.00991,0.54644,0.00173
00:01:33,110.53089,179.74222,802.58357,542.37445,303.44094,6,0.00774,0.33558,0.00089
00:01:33,111.10209,185.04402,761.95222,522.36144,298.0096,5.80341,0.00462,0.17518,0.00036
00:01:33,109.66036,185.21537,739.27639,501.30892,297.12535,5.21368,0.00249,0.09144,0.00015
00:01:57,495.36222,795.15035,299.75116,253.76753,230.83194,6,-0.00497,0.51011,-0.00114
00:01:57,497.74914,770.01512,278.69685,233.09427,212.09907,6,-0.00469,0.50246,-0.00112
00:01:57,491.24355,744.86575,257.18279,212.41672,205.48119,6,-0.00469,0.48226,-0.00129
00:01:57,476.76574,719.74188,236.72895,200.85548,185.93097,6,-0.00554,0.42547,-0.00191
00:01:57,474.67914,691.30286,221.7086,186.24732,174.84955,6,-0.00704,0.36504,-0.00254
00:01:57,459.17179,661.46252,203.70814,168.03479,161.87291,5.98879,-0.00979,0.28456,-0.00337
00:01:57,443.13905,628.74345,186.72327,150.18938,140.79493,5.7879,-0.01265,0.22275,-0.00395
00:01:57,425.05761,596.84014,176.07533,138.32065,134.67903,5.53884,-0.01438,0.19753,-0.00417
00:01:57,411.25119,557.3996,175.16535,124.09669,117.54698,5.18279,-0.01589,0.18154,-0.00429
00:01:57,391.02634,522.19885,713.26211,113.17846,104.04943,4.8467,-0.01665,0.17264,-0.00426
00:01:57,376.05243,495.48078,669.32641,105.79991,95.01795,4.61985,-0.01677,0.16991,-0.00416
00:01:57,357.10612,465.16705,618.24695,96.92584,84.31182,4.36541,-0.01654,0.17475,-0.00401
00:01:57,340.69309,438.68377,576.05361,90.10628,75.86472,4.18901,-0.0161,0.18882,-0.00387
00:01:58,327.54948,417.83181,547.92964,95.64523,70.38474,4.11619,-0.01572,0.20396,-0.00374
