timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.0762,0.09502,0.13705,0.20414,0.348,0.00048,0,-3.00464,0.033
none,0.07624,0.09519,0.13706,0.2042,0.34828,0.00279,0.01422,-3.02292,0.0744
none,0.07632,0.09555,0.13709,0.20434,0.34885,0.00436,0.02845,-3.04222,0.1144
none,0.07638,0.09609,0.13712,0.20453,0.3497,0.0052,0.04263,-3.05291,0.1542
none,0.07628,0.09682,0.13718,0.2048,0.35083,0.00563,0.05678,-3.06065,0.1937
none,0.07616,0.09775,0.13724,0.20513,0.35226,0.00578,0.07086,-3.06661,0.2306
none,0.07601,0.09788,0.13732,0.20553,0.35399,0.00571,0.08472,-3.07243,0.2664
none,0.07584,0.09781,0.14069,0.206,0.35602,0.00545,0.09832,-3.06989,0.3050
none,0.07565,0.09774,0.1408,0.20654,0.35836,0.00529,0.11191,-3.0754,0.3401
none,0.07544,0.09767,0.14092,0.20715,0.36102,0.00495,0.12524,-3.08082,0.374
none,0.0752,0.09758,0.14106,0.20783,0.36402,0.00444,0.1383,-3.07482,0.4087
none,0.07495,0.09749,0.14451,0.20858,0.36735,0.00416,0.15117,-3.05712,0.4465
none,0.07468,0.0974,0.14468,0.20941,0.37105,0.0045,0.16411,-3.04577,0.481
none,0.07468,0.0973,0.14488,0.21032,0.37513,0.00521,0.17693,-3.03674,0.5167
none,0.07528,0.09977,0.14509,0.2113,0.37962,0.00619,0.18965,-3.02665,0.5505
none,0.07593,0.10034,0.14532,0.21237,0.38454,0.00747,0.2022,-3.01547,0.5851
none,0.07663,0.10023,0.14557,0.21353,0.38993,0.00906,0.21467,-3.0028,0.6201
none,0.07739,0.10011,0.14585,0.21478,0.3958,0.01101,0.2271,-2.98832,0.6553
none,0.07822,0.1,0.14948,0.21612,0.40222,0.01335,0.23952,-2.96172,0.6943
none,0.07911,0.10081,0.14939,0.21703,0.40822,0.01648,0.25219,-2.94686,0.7301
none,0.07916,0.1026,0.14975,0.21858,0.41585,0.01996,0.26483,-2.92346,0.7661
none,0.07874,0.10248,0.15014,0.22023,0.42419,0.02406,0.27748,-2.89686,0.8036
none,0.07831,0.10237,0.15392,0.22201,0.43331,0.02886,0.29022,-2.85683,0.8454
none,0.07787,0.10263,0.15439,0.22392,0.44331,0.03479,0.30335,-2.82284,0.8855
none,0.07857,0.10537,0.15489,0.22597,0.45429,0.04158,0.31667,-2.78633,0.9256
none,0.07989,0.10486,0.155,0.22761,0.46523,0.04927,0.33015,-2.7525,0.9680
none,0.07973,0.10545,0.15558,0.22996,0.09947,0.05773,0.3439,-3.18809,0.7131
none,0.07928,0.10789,0.15959,0.23234,0.09234,0.05093,0.33701,-3.16992,0.6656
