timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.24563,0.37041,0.12678,0.08905,0.06606,0.42873,-0.0031,0.66125,0.0004
none,0.24524,0.37,0.12581,0.08824,0.06522,0.51199,0.00936,0.66125,0.0004
none,0.24445,0.36919,0.12436,0.08703,0.06559,0.59109,0.01933,0.66125,0.0004
none,0.24691,0.36843,0.12241,0.08541,0.06567,0.66623,0.02731,0.66125,0.0004
none,0.24573,0.36724,0.12092,0.08419,0.06443,0.73762,0.03369,0.66125,0.0004
none,0.2482,0.36656,0.11895,0.08256,0.06372,0.80544,0.0388,0.66125,0.0004
none,0.25026,0.36544,0.11651,0.08054,0.06406,0.86986,0.04288,0.66125,0.0004
none,0.25234,0.36433,0.11406,0.07851,0.06198,0.93107,0.04615,0.66125,0.0004
none,0.25118,0.36325,0.11162,0.07971,0.05991,0.98921,0.04876,0.66125,0.0004
none,0.25326,0.36217,0.10917,0.07768,0.05783,1,0.05086,0.66125,0.0004
none,0.25534,0.36111,0.10673,0.07566,0.05912,1,0.05253,0.66125,0.0004
none,0.25743,0.36006,0.10428,0.07363,0.05704,1,0.05387,0.66125,0.0004
none,0.25952,0.35901,0.10184,0.07161,0.05805,1,0.05494,0.66125,0.0004
none,0.25837,0.35797,0.09941,0.06958,0.05626,1,0.05579,0.66125,0.0004
none,0.26006,0.15915,0.09651,0.06716,0.05627,1,0.05648,0.66125,0.0004
none,0.25892,0.15519,0.09408,0.06835,0.05506,1,0.05703,0.66125,0.0004
none,0.26102,0.15125,0.09166,0.06633,0.05329,1,0.05747,0.66125,0.0004
none,0.26312,0.14166,0.08924,0.06431,0.05428,1,0.05782,0.66125,0.0004
none,0.26198,0.13777,0.08683,0.06229,0.05219,1,0.0581,0.66125,0.0004
none,0.26084,0.13389,0.08442,0.06027,0.0501,1,0.05832,0.66125,0.0004
none,0.26295,0.12934,0.08155,0.05785,0.04758,1,0.0585,0.66125,0.0004
none,0.26506,0.1255,0.07915,0.05583,0.04889,1,0.05865,0.66125,0.0004
none,0.26392,0.12169,0.07676,0.05703,0.04679,1,0.05876,0.66125,0.0004
none,0.26603,0.11789,0.07437,0.05501,0.04798,1,0.05885,0.66125,0.0004
none,0.2649,0.11412,0.07199,0.05299,0.046,1,0.05893,0.66125,0.0004
none,0.26376,0.10967,0.06915,0.05058,0.04347,1,0.05898,0.66125,0.0004
none,0.26588,0.10593,0.06678,0.04856,0.04137,1,0.05903,0.66125,0.0004
none,0.26474,0.10221,0.06441,0.04655,0.04247,1,0.05907,0.66125,0.0004
none,0.26686,0.09851,0.06205,0.04454,0.04057,1,0.0591,0.66125,0.0004
none,0.26573,0.09483,0.05969,0.04253,0.03846,1,0.05912,0.66125,0.0004
none,0.2646,0.09049,0.05688,0.04011,0.03592,1,0.05914,0.66125,0.0004
none,0.26672,0.08684,0.05453,0.0381,0.03717,1,0.05916,0.66125,0.0004
none,0.266,0.08322,0.05219,0.0393,0.03511,1,0.05917,0.66125,0.0004
none,0.26487,0.07961,0.04985,0.03729,0.03299,1,0.05918,0.66125,0.0004
none,0.26374,0.07535,0.04706,0.03488,0.03044,1,0.05919,0.66125,0.0004
