timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,614.08468,926.0348,316.94896,222.62531,165.14753,2.57238,-0.00009,0,
none,613.09914,925.01076,314.5374,220.60308,163.0587,3.07195,0.00028,0,
none,611.12952,922.97261,310.89104,217.56586,163.96744,3.54653,0.00058,0,
none,617.26266,921.07707,306.0248,213.51584,164.18588,3.99739,0.00082,0,
none,614.32137,918.10025,302.30417,210.46901,161.08198,4.42571,0.00101,0,
none,620.48859,916.40872,297.38484,206.4125,159.29581,4.83261,0.00116,0,
none,625.65923,913.59196,291.27651,201.34776,160.15885,5.21917,0.00129,0,
none,630.84213,910.8315,285.16098,196.28264,154.96188,5.58639,0.00138,0,
none,627.94633,908.11465,279.04308,199.2691,149.76431,5.93526,0.00146,0,
none,633.14781,905.4318,272.92639,194.20369,144.56498,6,0.00153,0,
none,638.35816,902.77633,266.81343,189.1394,147.80929,6,0.00158,0,
none,643.5766,900.14161,260.70653,184.07654,142.60862,6,0.00162,0,
none,648.80258,897.52283,254.60732,179.01532,145.13681,6,0.00165,0,
none,645.93619,894.91638,248.51705,173.95589,140.65574,6,0.00167,0,
none,650.16124,397.88478,241.2711,167.89303,140.66504,6,0.00169,0,
none,647.3011,387.9838,235.20281,170.87906,137.64515,6,0.00171,0,
none,652.54895,378.12592,229.14567,165.82434,133.22786,6,0.00172,0,
none,657.80289,354.14708,223.10016,160.77169,135.69166,6,0.00173,0,
none,654.95186,344.41666,217.06669,155.72112,130.47142,6,0.00174,0,
none,652.10181,334.73363,211.04552,150.67264,125.2454,6,0.00175,0,
none,657.3684,323.34052,203.87824,144.62189,118.95144,6,0.00176,0,
none,662.64074,313.75663,197.88291,139.57766,122.21478,6,0.00176,0,
none,659.79809,304.22084,191.90013,142.56741,116.97546,6,0.00176,0,
none,665.07909,294.73325,185.92996,137.52592,119.947,6,0.00177,0,
none,662.24015,285.29309,179.97222,132.48639,114.99632,6,0.00177,0,
none,659.40161,274.1656,172.87456,126.44526,108.67812,6,0.00177,0,
none,664.69439,264.8248,166.94294,121.40969,103.41827,6,0.00177,0,
none,661.85945,255.53073,161.02364,116.37595,106.18042,6,0.00177,0,
none,667.16074,246.28407,155.11686,111.34402,101.41951,6,0.00177,0,
none,664.32906,237.08336,149.22222,106.31383,96.14555,6,0.00177,0,
none,661.4976,226.21514,142.19311,100.28253,89.79585,6,0.00177,0,
none,666.81069,217.11039,136.32393,95.25583,92.93027,6,0.00177,0,
none,665.00084,208.05103,130.46681,98.25126,87.77614,6,0.00178,0,
none,662.17325,199.03636,124.6216,93.22672,82.48001,6,0.00178,0,
none,659.34566,188.36952,117.64614,87.20142,76.10498,6,0.00178,0,
none,664.67382,179.44772,111.82573,82.18003,77.40471,6,0.00178,0,
none,661.84944,170.56968,106.01702,77.16009,74.06318,6,0.00178,0,
none,659.02514,161.73498,100.21993,72.14154,68.74401,6,0.00178,0,
none,664.36527,151.26234,93.29655,66.12248,62.3428,6,0.00178,0,
none,661.54401,142.51719,87.52351,61.10668,57.00842,6,0.00178,0,
none,659.74406,133.8142,81.76183,56.09213,51.6667,6,0.00178,0,
none,656.92335,110.13447,74.87687,50.07724,53.85768,6,0.00178,0,
none,654.10248,101.55018,69.13869,53.07671,48.50648,6,0.00178,0,
none,651.28169,93.00658,63.41157,48.06495,43.14779,6,0.00178,0,
none,656.64316,84.50354,57.69548,43.05428,37.78151,6,0.00178,0,
none,653.82533,74.38743,50.86005,37.04345,31.32736,6,0.00178,0,
none,652.03084,65.96805,45.16675,32.03487,28.95639,6,0.00178,0,
none,199.80048,57.58793,39.48418,27.02722,29.20944,6,0.00178,0,
none,170.5472,47.60532,32.6852,21.01953,22.73516,6,0.00178,0,
none,146.33048,39.30664,27.0249,16.01368,17.33483,6,0.00178,0,
none,122.49579,31.04629,21.37509,11.00861,11.92655,6,0.00178,0,
none,58.51936,21.19356,14.6117,13.00928,5.42521,6,0.00178,0,
none,35.73328,13.01244,8.98364,8.00519,8.68684,6,0.00178,0,
none,13.29719,4.86858,3.36582,3.00176,3.26002,6,0.00178,0,
none,187.97859,340.73327,624,847.39413,198.42184,0,0,0,
none,188.03462,340.99289,623.00004,846.43092,198.36277,0.62819,0.00036,0,
none,188.13576,341.46205,622.00031,845.58012,198.25642,1.22496,0.00064,0,
none,188.27308,342.09989,620.00107,843.71464,198.11265,1.7919,0.00087,0,
none,188.43968,342.87518,618.00262,841.92026,197.93919,2.33049,0.00105,0,
none,188.62992,343.76237,615.00518,839.07694,197.74239,2.84215,0.00119,0,
none,188.83955,344.74237,611.00896,835.1717,197.52707,3.32823,0.00131,0,
none,189.06494,345.79877,608.01414,832.40665,197.29737,3.79001,0.0014,0,
none,189.30335,346.91937,603.02077,827.4538,197.05641,4.22869,0.00148,0,
none,189.55235,348.09321,599.02898,823.6275,196.8069,4.64544,0.00154,0,
none,189.81027,349.3129,594.03876,818.70706,196.55076,5.04136,0.00159,0,
none,190.07561,346.58831,588.05005,812.68586,196.28968,5.41747,0.00162,0,
none,190.34712,339.75482,590.06376,806.66909,196.02503,5.77479,0.00165,0,
none,190.62407,333.56502,584.07835,800.65462,195.75764,6,0.00168,0,
none,190.90569,334.83958,578.09447,794.64033,195.48838,6,0.0017,0,
none,191.19119,336.13628,572.11206,788.62416,195.21806,6,0.00171,0,
none,191.48013,337.45326,566.13107,782.6048,194.94717,6,0.00173,0,
none,191.77238,338.79011,560.15147,776.58176,194.6759,6,0.00174,0,
none,193.40108,342.57445,554.17317,770.55338,193.12591,6,0.00174,0,
none,193.70074,335.77249,548.19614,764.51955,192.85694,6,0.00175,0,
none,194.00295,328.98104,550.22357,758.47979,192.5884,6,0.00176,0,
none,194.30723,326.58522,544.24929,752.43286,192.32074,6,0.00176,0,
none,194.6136,327.93037,538.27611,746.37867,192.05396,6,0.00176,0,
none,196.26635,331.84263,532.30398,740.31712,190.51795,6,0.00177,0,
none,196.57908,327.98905,526.33286,734.24811,190.2547,6,0.00177,0,
none,196.89341,321.23245,520.36263,728.17043,189.99276,6,0.00177,0,
none,197.20991,315.35884,514.3933,722.08512,189.7317,6,0.00177,0,
none,197.52806,316.69701,508.42475,715.99097,189.47195,6,0.00177,0,
none,199.20315,320.6553,511.46516,711.01506,187.95194,6,0.00177,0,
none,199.52717,321.36501,505.49876,704.90474,187.69621,6,0.00177,0,
none,199.85288,314.6426,499.53302,698.78532,187.44178,6,0.00177,0,
none,201.54224,307.93085,493.56789,692.65708,185.93217,6,0.00177,0,
none,201.87378,307.67203,487.6033,686.51957,185.68183,6,0.00178,0,
none,202.20723,309.02076,481.63922,680.37307,185.43261,6,0.00178,0,
none,202.54243,310.38234,475.67556,674.21711,195.19461,6,0.00178,0,
none,204.25019,307.0463,469.71228,668.05162,193.68497,6,0.00178,0,
none,204.5912,300.3688,463.74931,661.87651,193.42787,6,0.00178,0,
none,204.93399,295.56484,457.78659,655.69169,193.17206,6,0.00178,0,
none,206.65629,299.61812,459.83869,649.49707,191.6729,6,0.00178,0,
none,207.00502,297.58751,453.8772,643.29256,191.42129,6,0.00178,0,
none,207.11577,290.93904,447.91584,637.07842,189.92942,6,0.00178,0,
none,198.05737,284.3953,441.95452,630.85386,189.68194,6,0.00178,0,
none,198.35288,285.70165,435.99319,624.61914,199.34084,6,0.00178,0,
none,200.08204,288.1961,430.03184,618.37452,197.84634,6,0.00178,0,
none,200.42574,281.57612,424.07035,612.11922,207.47098,6,0.00178,0,
none,202.1657,274.9659,418.10871,605.85382,205.97113,6,0.00178,0,
none,202.51565,274.1059,412.14685,599.57789,215.56182,6,0.00178,0,
none,201.60803,278.2382,414.20808,593.291,214.05695,6,0.00178,0,
none,193.41027,272.27792,408.2467,586.99374,233.44348,6,0.00178,0,
none,195.15245,265.69517,402.28492,580.68534,231.92116,6,0.00178,0,
none,195.4951,262.07959,396.32275,574.36636,251.2376,6,0.00178,0,
none,197.2483,266.23705,390.36005,568.03607,854.92712,6,0.00178,0,
none,191.29986,263.04287,384.39685,561.69501,846.65519,6,0.00178,0,
none,188.05039,256.48665,378.43305,555.34276,838.34402,6,0.00178,0,
